txn_id,gtw_txn_id,account_id,entry_type,amount,status,created_at
36,TXN_10012,2,CREDIT,24840.32,SUCCESS,2026-04-03 09:50:05
37,TXN_10013,10,DEBIT,36996.99,SUCCESS,2026-04-03 15:25:59
38,TXN_10013,15,CREDIT,36996.99,SUCCESS,2026-04-03 15:25:59
39,TXN_10015,11,DEBIT,3213.42,SUCCESS,2026-04-01 18:30:22
40,TXN_10015,2,CREDIT,3213.42,SUCCESS,2026-04-01 18:30:22
41,TXN_10017,15,DEBIT,10556.94,SUCCESS,2026-04-01 16:37:01
42,TXN_10017,6,CREDIT,10556.94,SUCCESS,2026-04-01 16:37:01
43,TXN_10018,4,DEBIT,26811.97,SUCCESS,2026-04-01 17:53:54
44,TXN_10018,20,CREDIT,26811.97,SUCCESS,2026-04-01 17:53:54
45,TXN_10019,20,DEBIT,43582.64,SUCCESS,2026-04-03 15:22:19
46,TXN_10019,16,CREDIT,43582.64,SUCCESS,2026-04-03 15:22:19
47,TXN_10020,2,DEBIT,13574.58,SUCCESS,2026-04-03 02:48:03
48,TXN_10020,1,CREDIT,13574.58,SUCCESS,2026-04-03 02:48:03
49,TXN_10021,16,DEBIT,35470.7,SUCCESS,2026-04-03 04:44:30
50,TXN_10021,14,CREDIT,35470.7,SUCCESS,2026-04-03 04:44:30
51,TXN_10022,14,DEBIT,17319.27,SUCCESS,2026-04-03 15:17:24
52,TXN_10022,10,CREDIT,17319.27,SUCCESS,2026-04-03 15:17:24
53,TXN_10023,16,DEBIT,28513.06,SUCCESS,2026-04-03 08:31:23
54,TXN_10023,20,CREDIT,28513.06,SUCCESS,2026-04-03 08:31:23
55,TXN_10024,7,DEBIT,4229.34,SUCCESS,2026-04-01 16:49:28
56,TXN_10024,8,CREDIT,4229.34,SUCCESS,2026-04-01 16:49:28
57,TXN_10026,1,DEBIT,28584.53,SUCCESS,2026-04-02 02:24:10
58,TXN_10026,9,CREDIT,28584.53,SUCCESS,2026-04-02 02:24:10
59,TXN_10027,7,DEBIT,7722.85,SUCCESS,2026-04-03 13:07:00
60,TXN_10027,4,CREDIT,7722.85,SUCCESS,2026-04-03 13:07:00
61,TXN_10028,15,DEBIT,49044.97,SUCCESS,2026-04-03 15:52:06
62,TXN_10028,20,CREDIT,49044.97,SUCCESS,2026-04-03 15:52:06
63,TXN_10029,11,DEBIT,31186.78,SUCCESS,2026-04-02 11:11:22
64,TXN_10029,17,CREDIT,31186.78,SUCCESS,2026-04-02 11:11:22
65,TXN_10030,3,DEBIT,41856.42,SUCCESS,2026-04-01 12:14:44
66,TXN_10030,14,CREDIT,41856.42,SUCCESS,2026-04-01 12:14:44
67,TXN_10032,10,DEBIT,29884.89,SUCCESS,2026-04-01 17:24:57
68,TXN_10032,19,CREDIT,29884.89,SUCCESS,2026-04-01 17:24:57
69,TXN_10033,11,DEBIT,29356.45,SUCCESS,2026-04-01 17:35:35
70,TXN_10033,14,CREDIT,29356.45,SUCCESS,2026-04-01 17:35:35
71,TXN_10034,2,DEBIT,36021.1,SUCCESS,2026-04-03 06:47:32
72,TXN_10034,1,CREDIT,36021.1,SUCCESS,2026-04-03 06:47:32
73,TXN_10035,20,DEBIT,27786.86,SUCCESS,2026-04-01 17:28:43
74,TXN_10035,13,CREDIT,27786.86,SUCCESS,2026-04-01 17:28:43
75,TXN_10036,10,DEBIT,12682.36,SUCCESS,2026-04-02 13:35:08
76,TXN_10036,12,CREDIT,12682.36,SUCCESS,2026-04-02 13:35:08
77,TXN_10037,4,DEBIT,30994.93,SUCCESS,2026-04-02 21:13:26
78,TXN_10037,13,CREDIT,30994.93,SUCCESS,2026-04-02 21:13:26
79,TXN_10038,3,DEBIT,8051.08,SUCCESS,2026-04-01 11:00:16
80,TXN_10038,19,CREDIT,8051.08,SUCCESS,2026-04-01 11:00:16
81,TXN_10039,13,DEBIT,37327.15,SUCCESS,2026-04-02 22:12:17
82,TXN_10039,19,CREDIT,37327.15,SUCCESS,2026-04-02 22:12:17
83,TXN_10041,9,DEBIT,30072.41,SUCCESS,2026-04-01 16:46:42
84,TXN_10041,18,CREDIT,30072.41,SUCCESS,2026-04-01 16:46:42
85,TXN_10042,6,DEBIT,12864.5,SUCCESS,2026-04-03 09:07:13
86,TXN_10042,14,CREDIT,12864.5,SUCCESS,2026-04-03 09:07:13
87,TXN_10043,5,DEBIT,22689.97,SUCCESS,2026-04-03 16:24:37
88,TXN_10043,8,CREDIT,22689.97,SUCCESS,2026-04-03 16:24:37
89,TXN_10044,18,DEBIT,34583.47,SUCCESS,2026-04-03 05:20:52
90,TXN_10044,16,CREDIT,34583.47,SUCCESS,2026-04-03 05:20:52
91,TXN_10045,15,DEBIT,14896.65,SUCCESS,2026-04-03 02:28:08
92,TXN_10045,8,CREDIT,14896.65,SUCCESS,2026-04-03 02:28:08
93,TXN_10046,10,DEBIT,21335.92,SUCCESS,2026-04-02 16:31:41
94,TXN_10046,14,CREDIT,21335.92,SUCCESS,2026-04-02 16:31:41
95,TXN_10047,3,DEBIT,37128.34,SUCCESS,2026-04-02 08:52:04
96,TXN_10047,6,CREDIT,37128.34,SUCCESS,2026-04-02 08:52:04
97,TXN_10048,11,DEBIT,26156.79,SUCCESS,2026-04-01 17:14:28
98,TXN_10048,14,CREDIT,26156.79,SUCCESS,2026-04-01 17:14:28
99,TXN_10049,7,DEBIT,3701.05,SUCCESS,2026-04-02 11:44:59
100,TXN_10049,12,CREDIT,3701.05,SUCCESS,2026-04-02 11:44:59
101,TXN_10050,3,DEBIT,40521.61,SUCCESS,2026-04-02 15:35:55
102,TXN_10050,6,CREDIT,40521.61,SUCCESS,2026-04-02 15:35:55
103,TXN_10053,15,DEBIT,7681.44,SUCCESS,2026-04-02 08:22:50
104,TXN_10053,9,CREDIT,7681.44,SUCCESS,2026-04-02 08:22:50
105,TXN_10054,15,DEBIT,38864.32,SUCCESS,2026-04-03 13:47:59
106,TXN_10054,18,CREDIT,38864.32,SUCCESS,2026-04-03 13:47:59
107,TXN_10055,20,DEBIT,36936.9,SUCCESS,2026-04-02 01:18:23
108,TXN_10055,3,CREDIT,36936.9,SUCCESS,2026-04-02 01:18:23
109,TXN_10056,20,DEBIT,32808.35,SUCCESS,2026-04-03 05:48:10
110,TXN_10056,18,CREDIT,32808.35,SUCCESS,2026-04-03 05:48:10
111,TXN_10057,3,DEBIT,36022.89,SUCCESS,2026-04-01 19:28:22
112,TXN_10057,20,CREDIT,36022.89,SUCCESS,2026-04-01 19:28:22
113,TXN_10058,1,DEBIT,11963.61,SUCCESS,2026-04-02 19:00:50
114,TXN_10058,10,CREDIT,11963.61,SUCCESS,2026-04-02 19:00:50
115,TXN_10059,3,DEBIT,28594.65,SUCCESS,2026-04-01 16:02:34
116,TXN_10059,12,CREDIT,28594.65,SUCCESS,2026-04-01 16:02:34
117,TXN_10060,9,DEBIT,29621.3,SUCCESS,2026-04-01 22:07:12
118,TXN_10060,6,CREDIT,29621.3,SUCCESS,2026-04-01 22:07:12
119,TXN_10061,5,DEBIT,43714.77,SUCCESS,2026-04-02 16:18:04
120,TXN_10061,14,CREDIT,43714.77,SUCCESS,2026-04-02 16:18:04
121,TXN_10063,6,DEBIT,26648.4,SUCCESS,2026-04-03 05:35:27
122,TXN_10063,16,CREDIT,26648.4,SUCCESS,2026-04-03 05:35:27
123,TXN_10064,17,DEBIT,29827.81,SUCCESS,2026-04-03 02:41:29
124,TXN_10064,9,CREDIT,29827.81,SUCCESS,2026-04-03 02:41:29
125,TXN_10065,1,DEBIT,40273.87,SUCCESS,2026-04-02 11:10:55
126,TXN_10065,9,CREDIT,40273.87,SUCCESS,2026-04-02 11:10:55
127,TXN_10066,2,DEBIT,6329.67,SUCCESS,2026-04-01 17:20:36
128,TXN_10066,15,CREDIT,6329.67,SUCCESS,2026-04-01 17:20:36
129,TXN_10067,10,DEBIT,37225.09,SUCCESS,2026-04-02 00:49:09
130,TXN_10067,13,CREDIT,37225.09,SUCCESS,2026-04-02 00:49:09
131,TXN_10068,18,DEBIT,17803.57,SUCCESS,2026-04-02 23:54:43
132,TXN_10068,19,CREDIT,17803.57,SUCCESS,2026-04-02 23:54:43
133,TXN_10069,3,DEBIT,25617.94,SUCCESS,2026-04-03 06:07:31
134,TXN_10069,15,CREDIT,25617.94,SUCCESS,2026-04-03 06:07:31
135,TXN_10070,3,DEBIT,40676.62,SUCCESS,2026-04-02 02:18:17
136,TXN_10070,16,CREDIT,40676.62,SUCCESS,2026-04-02 02:18:17
137,TXN_10071,4,DEBIT,6956.25,SUCCESS,2026-04-02 09:51:03
138,TXN_10071,3,CREDIT,6956.25,SUCCESS,2026-04-02 09:51:03
139,TXN_10072,12,DEBIT,11069.4,SUCCESS,2026-04-03 14:29:35
140,TXN_10072,11,CREDIT,11069.4,SUCCESS,2026-04-03 14:29:35
141,TXN_10073,11,DEBIT,25333.34,SUCCESS,2026-04-01 22:32:38
142,TXN_10073,18,CREDIT,25333.34,SUCCESS,2026-04-01 22:32:38
143,TXN_10074,1,DEBIT,42041.92,SUCCESS,2026-04-03 14:54:10
144,TXN_10074,9,CREDIT,42041.92,SUCCESS,2026-04-03 14:54:10
145,TXN_10075,14,DEBIT,11649.91,SUCCESS,2026-04-02 00:00:40
146,TXN_10075,8,CREDIT,11649.91,SUCCESS,2026-04-02 00:00:40
147,TXN_10076,6,DEBIT,40392.61,SUCCESS,2026-04-02 12:48:02
148,TXN_10076,7,CREDIT,40392.61,SUCCESS,2026-04-02 12:48:02
149,TXN_10077,14,DEBIT,24114.14,SUCCESS,2026-04-02 17:44:54
150,TXN_10077,6,CREDIT,24114.14,SUCCESS,2026-04-02 17:44:54
151,TXN_10078,19,DEBIT,31800.82,SUCCESS,2026-04-02 17:41:38
152,TXN_10078,20,CREDIT,31800.82,SUCCESS,2026-04-02 17:41:38
153,TXN_10079,10,DEBIT,19825.85,SUCCESS,2026-04-02 22:34:12
154,TXN_10079,8,CREDIT,19825.85,SUCCESS,2026-04-02 22:34:12
155,TXN_10080,15,DEBIT,45178.1,SUCCESS,2026-04-03 17:01:00
156,TXN_10080,8,CREDIT,45178.1,SUCCESS,2026-04-03 17:01:00
157,TXN_10081,18,DEBIT,46784.56,SUCCESS,2026-04-01 22:36:23
158,TXN_10081,7,CREDIT,46784.56,SUCCESS,2026-04-01 22:36:23
159,TXN_10083,10,DEBIT,571.82,SUCCESS,2026-04-02 11:28:34
160,TXN_10083,3,CREDIT,571.82,SUCCESS,2026-04-02 11:28:34
161,TXN_10084,19,DEBIT,13934.73,SUCCESS,2026-04-03 13:45:04
162,TXN_10084,2,CREDIT,13934.73,SUCCESS,2026-04-03 13:45:04
163,TXN_10085,11,DEBIT,8503.84,SUCCESS,2026-04-03 02:56:59
164,TXN_10085,18,CREDIT,8503.84,SUCCESS,2026-04-03 02:56:59
165,TXN_10086,12,DEBIT,36439.11,SUCCESS,2026-04-03 02:09:54
166,TXN_10086,17,CREDIT,36439.11,SUCCESS,2026-04-03 02:09:54
167,TXN_10087,7,DEBIT,14729.55,SUCCESS,2026-04-01 22:58:14
168,TXN_10087,6,CREDIT,14729.55,SUCCESS,2026-04-01 22:58:14
169,TXN_10089,6,DEBIT,46276.45,SUCCESS,2026-04-02 19:57:04
170,TXN_10089,4,CREDIT,46276.45,SUCCESS,2026-04-02 19:57:04
171,TXN_10090,14,DEBIT,34673.42,SUCCESS,2026-04-03 01:54:33
172,TXN_10090,18,CREDIT,34673.42,SUCCESS,2026-04-03 01:54:33
173,TXN_10091,1,DEBIT,14922.54,SUCCESS,2026-04-01 17:43:29
174,TXN_10091,8,CREDIT,14922.54,SUCCESS,2026-04-01 17:43:29
175,TXN_10092,12,DEBIT,4837.16,SUCCESS,2026-04-02 03:35:59
176,TXN_10092,2,CREDIT,4837.16,SUCCESS,2026-04-02 03:35:59
177,TXN_10093,11,DEBIT,20580.08,SUCCESS,2026-04-03 16:40:40
178,TXN_10093,7,CREDIT,20580.08,SUCCESS,2026-04-03 16:40:40
179,TXN_10094,18,DEBIT,27198.15,SUCCESS,2026-04-03 16:20:55
180,TXN_10094,3,CREDIT,27198.15,SUCCESS,2026-04-03 16:20:55
181,TXN_10095,4,DEBIT,8617.82,SUCCESS,2026-04-03 09:20:42
182,TXN_10095,7,CREDIT,8617.82,SUCCESS,2026-04-03 09:20:42
183,TXN_10096,17,DEBIT,45780.31,SUCCESS,2026-04-02 12:41:25
184,TXN_10096,14,CREDIT,45780.31,SUCCESS,2026-04-02 12:41:25
185,TXN_10097,16,DEBIT,8430.59,SUCCESS,2026-04-01 14:48:15
186,TXN_10097,18,CREDIT,8430.59,SUCCESS,2026-04-01 14:48:15
187,TXN_10098,11,DEBIT,42609.75,SUCCESS,2026-04-02 16:22:48
188,TXN_10098,18,CREDIT,42609.75,SUCCESS,2026-04-02 16:22:48
189,TXN_10099,12,DEBIT,45796.79,SUCCESS,2026-04-02 23:33:13
190,TXN_10099,8,CREDIT,45796.79,SUCCESS,2026-04-02 23:33:13
191,TXN_10100,19,DEBIT,15978.71,SUCCESS,2026-04-01 13:44:37
192,TXN_10100,2,CREDIT,15978.71,SUCCESS,2026-04-01 13:44:37
193,TXN_10101,12,DEBIT,13971.83,SUCCESS,2026-04-03 13:12:26
194,TXN_10101,16,CREDIT,13971.83,SUCCESS,2026-04-03 13:12:26
195,TXN_10102,6,DEBIT,14176.67,SUCCESS,2026-04-02 16:58:00
196,TXN_10102,19,CREDIT,14176.67,SUCCESS,2026-04-02 16:58:00
197,TXN_10103,12,DEBIT,18011.13,SUCCESS,2026-04-02 22:49:17
198,TXN_10103,16,CREDIT,18011.13,SUCCESS,2026-04-02 22:49:17
199,TXN_10105,17,DEBIT,17781.49,SUCCESS,2026-04-02 10:15:24
200,TXN_10105,13,CREDIT,17781.49,SUCCESS,2026-04-02 10:15:24
201,TXN_10106,13,DEBIT,3926.5,SUCCESS,2026-04-01 18:05:45
202,TXN_10106,19,CREDIT,3926.5,SUCCESS,2026-04-01 18:05:45
203,TXN_10107,13,DEBIT,20645.78,SUCCESS,2026-04-01 22:50:26
204,TXN_10107,9,CREDIT,20645.78,SUCCESS,2026-04-01 22:50:26
205,TXN_10108,4,DEBIT,44221.85,SUCCESS,2026-04-02 01:00:44
206,TXN_10108,15,CREDIT,44221.85,SUCCESS,2026-04-02 01:00:44
207,TXN_10109,11,DEBIT,19781.37,SUCCESS,2026-04-03 01:31:05
208,TXN_10109,19,CREDIT,19781.37,SUCCESS,2026-04-03 01:31:05
209,TXN_10110,12,DEBIT,47112.59,SUCCESS,2026-04-03 07:59:44
210,TXN_10110,3,CREDIT,47112.59,SUCCESS,2026-04-03 07:59:44
211,TXN_10111,2,DEBIT,38179.2,SUCCESS,2026-04-02 01:13:42
212,TXN_10111,5,CREDIT,38179.2,SUCCESS,2026-04-02 01:13:42
213,TXN_10112,7,DEBIT,24564.25,SUCCESS,2026-04-03 09:31:12
214,TXN_10112,3,CREDIT,24564.25,SUCCESS,2026-04-03 09:31:12
215,TXN_10114,20,DEBIT,26101.95,SUCCESS,2026-04-03 08:52:47
216,TXN_10114,18,CREDIT,26101.95,SUCCESS,2026-04-03 08:52:47
217,TXN_10115,14,DEBIT,14783.02,SUCCESS,2026-04-01 23:04:14
218,TXN_10115,3,CREDIT,14783.02,SUCCESS,2026-04-01 23:04:14
219,TXN_10116,9,DEBIT,24147.16,SUCCESS,2026-04-03 04:16:57
220,TXN_10116,4,CREDIT,24147.16,SUCCESS,2026-04-03 04:16:57
221,TXN_10117,9,DEBIT,36307.28,SUCCESS,2026-04-01 13:17:52
222,TXN_10117,6,CREDIT,36307.28,SUCCESS,2026-04-01 13:17:52
223,TXN_10118,3,DEBIT,46190.06,SUCCESS,2026-04-01 16:34:36
224,TXN_10118,5,CREDIT,46190.06,SUCCESS,2026-04-01 16:34:36
225,TXN_10119,17,DEBIT,42630.33,SUCCESS,2026-04-03 15:49:33
226,TXN_10119,9,CREDIT,42630.33,SUCCESS,2026-04-03 15:49:33
227,TXN_10121,4,DEBIT,45135.04,SUCCESS,2026-04-03 11:27:45
228,TXN_10121,2,CREDIT,45135.04,SUCCESS,2026-04-03 11:27:45
229,TXN_10122,6,DEBIT,47472.86,SUCCESS,2026-04-01 22:07:48
230,TXN_10122,17,CREDIT,47472.86,SUCCESS,2026-04-01 22:07:48
231,TXN_10123,20,DEBIT,32320.14,SUCCESS,2026-04-03 04:24:04
232,TXN_10123,14,CREDIT,32320.14,SUCCESS,2026-04-03 04:24:04
233,TXN_10125,8,DEBIT,8080.03,SUCCESS,2026-04-01 16:54:36
234,TXN_10125,15,CREDIT,8080.03,SUCCESS,2026-04-01 16:54:36
235,TXN_10126,18,DEBIT,35988.85,SUCCESS,2026-04-01 20:34:51
236,TXN_10126,6,CREDIT,35988.85,SUCCESS,2026-04-01 20:34:51
237,TXN_10128,5,DEBIT,46318.43,SUCCESS,2026-04-02 15:18:29
238,TXN_10128,15,CREDIT,46318.43,SUCCESS,2026-04-02 15:18:29
239,TXN_10129,8,DEBIT,32315.85,SUCCESS,2026-04-02 04:28:59
240,TXN_10129,20,CREDIT,32315.85,SUCCESS,2026-04-02 04:28:59
241,TXN_10130,6,DEBIT,25515.08,SUCCESS,2026-04-03 10:06:16
242,TXN_10130,10,CREDIT,25515.08,SUCCESS,2026-04-03 10:06:16
243,TXN_10131,2,DEBIT,13097.02,SUCCESS,2026-04-03 01:36:56
244,TXN_10131,9,CREDIT,13097.02,SUCCESS,2026-04-03 01:36:56
245,TXN_10132,6,DEBIT,44063.43,SUCCESS,2026-04-01 14:16:59
246,TXN_10132,1,CREDIT,44063.43,SUCCESS,2026-04-01 14:16:59
247,TXN_10133,20,DEBIT,35017.54,SUCCESS,2026-04-02 21:44:35
248,TXN_10133,7,CREDIT,35017.54,SUCCESS,2026-04-02 21:44:35
249,TXN_10134,15,DEBIT,41382.59,SUCCESS,2026-04-02 12:52:02
250,TXN_10134,20,CREDIT,41382.59,SUCCESS,2026-04-02 12:52:02
251,TXN_10135,16,DEBIT,13788.46,SUCCESS,2026-04-01 16:33:04
252,TXN_10135,8,CREDIT,13788.46,SUCCESS,2026-04-01 16:33:04
253,TXN_10136,15,DEBIT,27183.0,SUCCESS,2026-04-02 06:15:58
254,TXN_10136,12,CREDIT,27183.0,SUCCESS,2026-04-02 06:15:58
255,TXN_10137,1,DEBIT,38073.1,SUCCESS,2026-04-02 13:12:23
256,TXN_10137,19,CREDIT,38073.1,SUCCESS,2026-04-02 13:12:23
257,TXN_10138,19,DEBIT,41904.25,SUCCESS,2026-04-02 16:38:50
258,TXN_10138,12,CREDIT,41904.25,SUCCESS,2026-04-02 16:38:50
259,TXN_10139,9,DEBIT,19472.27,SUCCESS,2026-04-01 23:23:36
260,TXN_10139,5,CREDIT,19472.27,SUCCESS,2026-04-01 23:23:36
261,TXN_10140,19,DEBIT,21759.16,SUCCESS,2026-04-01 21:46:35
262,TXN_10140,20,CREDIT,21759.16,SUCCESS,2026-04-01 21:46:35
263,TXN_10141,4,DEBIT,15360.15,SUCCESS,2026-04-03 16:23:44
264,TXN_10141,18,CREDIT,15360.15,SUCCESS,2026-04-03 16:23:44
265,TXN_10142,7,DEBIT,36981.1,SUCCESS,2026-04-03 13:41:05
266,TXN_10142,6,CREDIT,36981.1,SUCCESS,2026-04-03 13:41:05
267,TXN_10143,3,DEBIT,30868.05,SUCCESS,2026-04-03 11:55:06
268,TXN_10143,4,CREDIT,30868.05,SUCCESS,2026-04-03 11:55:06
269,TXN_10144,15,DEBIT,18906.74,SUCCESS,2026-04-02 10:00:06
270,TXN_10144,4,CREDIT,18906.74,SUCCESS,2026-04-02 10:00:06
271,TXN_10145,8,DEBIT,1014.45,SUCCESS,2026-04-03 06:36:31
272,TXN_10145,9,CREDIT,1014.45,SUCCESS,2026-04-03 06:36:31
273,TXN_10146,6,DEBIT,44936.78,SUCCESS,2026-04-02 05:37:05
274,TXN_10146,17,CREDIT,44936.78,SUCCESS,2026-04-02 05:37:05
275,TXN_10147,16,DEBIT,45869.64,SUCCESS,2026-04-03 11:07:42
276,TXN_10147,17,CREDIT,45869.64,SUCCESS,2026-04-03 11:07:42
277,TXN_10149,19,DEBIT,3683.09,SUCCESS,2026-04-02 19:20:01
278,TXN_10149,1,CREDIT,3683.09,SUCCESS,2026-04-02 19:20:01
279,TXN_10150,9,DEBIT,14010.1,SUCCESS,2026-04-02 12:53:50
280,TXN_10150,8,CREDIT,14010.1,SUCCESS,2026-04-02 12:53:50
281,TXN_10151,9,DEBIT,12495.66,SUCCESS,2026-04-02 16:10:22
282,TXN_10151,14,CREDIT,12495.66,SUCCESS,2026-04-02 16:10:22
283,TXN_10152,13,DEBIT,11045.37,SUCCESS,2026-04-02 05:51:37
284,TXN_10152,1,CREDIT,11045.37,SUCCESS,2026-04-02 05:51:37
285,TXN_10154,7,DEBIT,28563.3,SUCCESS,2026-04-01 15:49:44
286,TXN_10154,9,CREDIT,28563.3,SUCCESS,2026-04-01 15:49:44
287,TXN_10155,8,DEBIT,9105.94,SUCCESS,2026-04-02 10:34:17
288,TXN_10155,2,CREDIT,9105.94,SUCCESS,2026-04-02 10:34:17
289,TXN_10156,13,DEBIT,23150.51,SUCCESS,2026-04-02 14:28:23
290,TXN_10156,5,CREDIT,23150.51,SUCCESS,2026-04-02 14:28:23
291,TXN_10157,3,DEBIT,41044.05,SUCCESS,2026-04-02 23:01:44
292,TXN_10157,17,CREDIT,41044.05,SUCCESS,2026-04-02 23:01:44
293,TXN_10158,9,DEBIT,25722.42,SUCCESS,2026-04-01 22:28:22
294,TXN_10158,13,CREDIT,25722.42,SUCCESS,2026-04-01 22:28:22
295,TXN_10159,12,DEBIT,25743.09,SUCCESS,2026-04-01 13:42:13
296,TXN_10159,6,CREDIT,25743.09,SUCCESS,2026-04-01 13:42:13
297,TXN_10160,15,DEBIT,22844.6,SUCCESS,2026-04-03 12:08:43
298,TXN_10160,5,CREDIT,22844.6,SUCCESS,2026-04-03 12:08:43
299,TXN_10161,11,DEBIT,33366.97,SUCCESS,2026-04-02 16:42:21
300,TXN_10161,2,CREDIT,33366.97,SUCCESS,2026-04-02 16:42:21
301,TXN_10163,18,DEBIT,38554.8,SUCCESS,2026-04-02 04:53:29
302,TXN_10163,12,CREDIT,38554.8,SUCCESS,2026-04-02 04:53:29
303,TXN_10164,14,DEBIT,17535.49,SUCCESS,2026-04-02 04:48:55
304,TXN_10164,10,CREDIT,17535.49,SUCCESS,2026-04-02 04:48:55
305,TXN_10165,5,DEBIT,34896.11,SUCCESS,2026-04-03 15:38:48
306,TXN_10165,12,CREDIT,34896.11,SUCCESS,2026-04-03 15:38:48
307,TXN_10166,5,DEBIT,36141.63,SUCCESS,2026-04-03 12:38:24
308,TXN_10166,15,CREDIT,36141.63,SUCCESS,2026-04-03 12:38:24
309,TXN_10167,3,DEBIT,35563.18,SUCCESS,2026-04-02 06:36:10
310,TXN_10167,15,CREDIT,35563.18,SUCCESS,2026-04-02 06:36:10
311,TXN_10168,20,DEBIT,34978.51,SUCCESS,2026-04-03 04:33:53
312,TXN_10168,6,CREDIT,34978.51,SUCCESS,2026-04-03 04:33:53
313,TXN_10169,2,DEBIT,5404.15,SUCCESS,2026-04-02 22:41:30
314,TXN_10169,9,CREDIT,5404.15,SUCCESS,2026-04-02 22:41:30
315,TXN_10171,14,DEBIT,17840.43,SUCCESS,2026-04-01 19:38:25
316,TXN_10171,6,CREDIT,17840.43,SUCCESS,2026-04-01 19:38:25
317,TXN_10172,11,DEBIT,36660.41,SUCCESS,2026-04-02 03:29:31
318,TXN_10172,4,CREDIT,36660.41,SUCCESS,2026-04-02 03:29:31
319,TXN_10173,10,DEBIT,28600.28,SUCCESS,2026-04-01 13:07:26
320,TXN_10173,15,CREDIT,28600.28,SUCCESS,2026-04-01 13:07:26
321,TXN_10174,18,DEBIT,42684.89,SUCCESS,2026-04-03 11:59:58
322,TXN_10174,4,CREDIT,42684.89,SUCCESS,2026-04-03 11:59:58
323,TXN_10175,8,DEBIT,49639.22,SUCCESS,2026-04-02 13:38:29
324,TXN_10175,15,CREDIT,49639.22,SUCCESS,2026-04-02 13:38:29
325,TXN_10176,15,DEBIT,3485.41,SUCCESS,2026-04-03 13:12:35
326,TXN_10176,1,CREDIT,3485.41,SUCCESS,2026-04-03 13:12:35
327,TXN_10177,19,DEBIT,48946.28,SUCCESS,2026-04-02 20:51:16
328,TXN_10177,5,CREDIT,48946.28,SUCCESS,2026-04-02 20:51:16
329,TXN_10178,7,DEBIT,8852.14,SUCCESS,2026-04-02 10:23:42
